"hhtyp,incgrp,unit,geo\time",2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
"TOTAL,A_MD60,PC,AT",2.3 ,1.8 ,2.8 ,3.3 ,1.7 ,2.8 b,2.1 ,2.9 ,1.7 ,2.4 ,1.8 ,2.5 ,1.7 ,1.7 ,1.2 ,1.1 ,: 
"TOTAL,A_MD60,PC,BE",4.9 ,5.8 ,11.5 ,11.7 ,11.3 ,4.6 ,3.5 ,3.8 ,4.6 ,4.4 ,3.6 ,3.0 ,3.5 ,2.7 ,3.0 ,2.6 ,: 
"TOTAL,A_MD60,PC,BG",: ,: ,67.3 ,67.3 ,63.3 ,62.2 ,59.7 ,62.1 ,39.8 ,40.2 ,38.3 ,33.4 b,31.5 ,32.5 b,29.4 ,27.4 ,: 
"TOTAL,A_MD60,PC,CH",: ,: ,: ,: ,6.5 ,6.7 ,7.0 ,6.7 ,0.6 ,0.3 ,0.3 ,0.3 b,0.6 ,0.4 ,0.3 ,0.4 ,: 
"TOTAL,A_MD60,PC,CY",: ,: ,30.4 ,29.7 ,29.4 ,25.7 b,18.7 ,25.0 ,23.2 ,27.2 ,26.8 ,24.1 ,24.2 ,19.5 ,18.4 ,17.6 ,: 
"TOTAL,A_MD60,PC,CZ",: ,: ,8.2 ,7.7 ,5.0 ,5.0 ,4.5 ,4.6 ,5.6 ,5.7 ,5.4 ,5.1 ,4.1 ,2.8 ,2.5 ,2.0 ,: 
"TOTAL,A_MD60,PC,DE",: ,: ,3.3 ,4.2 ,3.7 ,3.9 ,3.6 ,3.0 ,3.0 ,2.8 ,3.1 ,3.2 ,2.4 ,2.0 ,2.1 ,1.5 ,: 
"TOTAL,A_MD60,PC,DK",9.7 ,9.6 ,8.1 ,8.5 ,9.3 ,1.1 ,1.3 ,1.4 ,1.6 ,1.8 ,3.0 ,2.5 ,2.4 ,2.0 ,2.2 ,2.3 ,2.0 
"TOTAL,A_MD60,PC,EA18",: ,: ,6.5 ,6.5 ,5.9 ,5.7 ,5.3 ,5.4 ,6.4 ,7.3 ,7.2 ,7.3 ,6.4 ,5.9 ,5.5 ,5.1 ,: 
"TOTAL,A_MD60,PC,EA19",: ,: ,6.8 ,6.7 ,6.0 ,5.9 ,5.4 ,5.6 ,6.6 ,7.6 ,7.4 ,7.4 ,6.6 ,6.1 ,5.6 ,5.3 ,: 
"TOTAL,A_MD60,PC,EE",: ,4.6 ,1.9 ,1.7 ,2.4 ,0.7 ,1.0 ,2.0 ,1.9 ,3.1 ,2.3 ,1.1 b,0.9 ,1.8 ,1.5 ,1.8 ,: 
"TOTAL,A_MD60,PC,EL",12.1 ,13.1 ,12.1 ,8.7 ,9.8 ,11.8 ,10.5 ,9.7 ,13.2 ,19.6 ,23.9 ,27.4 ,23.3 ,22.8 ,20.8 ,18.5 ,: 
"TOTAL,A_MD60,PC,ES",: ,7.5 ,7.4 ,7.2 ,5.8 ,4.2 ,5.2 b,5.3 ,4.7 ,6.6 ,6.1 ,7.5 ,7.0 ,6.3 ,4.9 ,5.9 ,: 
"TOTAL,A_MD60,PC,EU",: ,: ,: ,: ,: ,: ,: ,: ,7.3 ,8.0 ,8.1 ,7.5 ,6.6 ,6.1 ,5.7 ,5.1 ,: 
"TOTAL,A_MD60,PC,EU27_2007",: ,: ,: ,: ,8.5 ,7.9 ,7.2 ,7.2 ,7.3 ,8.1 ,8.1 ,7.5 ,6.6 ,6.1 ,5.7 ,5.1 ,: 
"TOTAL,A_MD60,PC,EU27_2020",: ,: ,: ,: ,: ,: ,: ,7.5 e,7.6 e,8.3 e,8.0 e,7.6 e,6.7 e,6.3 e,5.8 e,5.3 e,: 
"TOTAL,A_MD60,PC,EU28",: ,: ,: ,: ,: ,: ,: ,7.2 ,7.3 ,8.0 ,8.1 ,7.5 ,6.6 ,6.1 ,5.7 ,5.1 ,: 
"TOTAL,A_MD60,PC,FI",: ,3.2 ,2.4 ,2.0 ,0.9 ,1.5 ,0.9 ,1.0 ,1.5 ,1.2 ,1.0 ,1.2 ,1.4 ,1.5 ,2.0 ,1.5 ,: 
"TOTAL,A_MD60,PC,FR",: ,4.3 ,4.2 ,4.5 ,3.4 ,4.4 ,4.2 ,4.3 ,4.3 ,4.5 ,4.9 ,4.5 ,3.9 ,3.6 ,3.4 ,3.4 ,: 
"TOTAL,A_MD60,PC,HR",: ,: ,: ,: ,: ,: ,: ,5.5 ,6.5 ,6.7 ,6.5 ,6.2 ,6.4 ,6.3 ,4.1 ,4.5 ,: 
"TOTAL,A_MD60,PC,HU",: ,: ,15.2 ,12.7 ,9.0 ,8.1 ,7.7 ,9.0 ,9.4 ,11.7 ,11.1 ,8.5 ,7.0 ,6.9 ,5.6 ,4.1 ,: 
"TOTAL,A_MD60,PC,IE",1.9 ,2.1 ,2.2 ,2.4 ,2.1 ,3.0 ,3.0 ,5.1 ,5.8 ,6.9 ,8.3 ,7.3 ,7.2 ,4.1 ,2.8 ,3.1 p,: 
"TOTAL,A_MD60,PC,IS",: ,6.9 ,9.0 ,10.2 ,8.6 ,0.8 b,1.0 ,1.3 ,1.9 ,1.3 ,1.2 ,1.6 ,1.3 ,1.4 ,: ,: ,: 
"TOTAL,A_MD60,PC,IT",: ,7.5 ,7.4 ,7.0 ,7.3 ,8.0 ,7.3 ,7.8 ,13.3 ,15.8 ,13.7 ,13.1 ,12.3 ,11.8 ,11.7 ,10.0 ,: 
"TOTAL,A_MD60,PC,LT",: ,: ,32.1 ,25.3 ,19.7 ,20.4 ,21.9 ,22.9 ,35.3 ,33.2 ,28.0 ,24.5 ,28.7 ,29.1 ,26.8 ,25.6 ,: 
"TOTAL,A_MD60,PC,LU",0.8 ,0.3 ,0.5 ,0.2 ,0.2 ,0.6 ,0.2 ,0.2 ,0.7 ,0.4 ,1.0 ,0.3 ,0.5 ,1.3 b,1.4 ,1.3 ,: 
"TOTAL,A_MD60,PC,LV",: ,: ,26.3 ,21.6 ,15.7 ,11.1 ,11.9 ,15.3 ,18.2 ,16.3 ,17.7 ,13.0 ,10.3 ,7.3 ,6.7 ,5.1 ,5.7 
"TOTAL,A_MD60,PC,ME",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.8 ,7.4 ,5.6 ,2.2 ,0.8 ,: ,: 
"TOTAL,A_MD60,PC,MK",: ,: ,: ,: ,: ,: ,: ,21.3 ,18.6 ,20.0 ,21.7 ,19.0 ,17.7 ,21.9 ,21.2 ,21.3 ,: 
"TOTAL,A_MD60,PC,MT",: ,: ,11.8 ,9.8 ,9.0 ,7.9 ,10.0 ,12.3 ,15.7 ,20.3 ,21.8 ,19.6 ,11.5 ,5.3 ,4.4 ,6.0 ,: 
"TOTAL,A_MD60,PC,NL",: ,: ,2.3 ,1.7 ,1.3 ,1.4 ,1.0 ,1.5 ,0.9 ,1.5 ,2.5 ,1.8 ,2.2 ,1.8 b,1.6 ,1.6 ,: 
"TOTAL,A_MD60,PC,NO",2.4 ,1.2 ,0.9 ,1.1 ,0.6 ,0.5 ,0.6 ,0.5 ,0.8 ,0.5 ,0.6 ,0.4 ,0.2 ,0.4 ,0.3 ,0.3 ,: 
"TOTAL,A_MD60,PC,PL",: ,: ,29.1 ,24.2 ,19.2 ,17.2 b,12.9 ,11.3 ,10.4 ,10.3 ,8.8 ,6.7 ,5.2 ,5.1 ,4.5 ,3.6 ,2.9 
"TOTAL,A_MD60,PC,PT",: ,31.0 ,34.6 ,35.3 ,36.8 ,30.1 ,25.1 ,25.8 ,22.9 ,23.5 ,24.1 ,23.7 ,19.1 ,17.8 ,16.3 ,15.8 ,: 
"TOTAL,A_MD60,PC,RO",: ,: ,: ,: ,29.1 ,21.7 ,19.9 ,18.2 ,12.4 ,11.8 ,11.5 ,8.9 ,8.2 ,9.8 ,9.4 ,6.9 ,: 
"TOTAL,A_MD60,PC,RS",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,14.5 ,13.7 ,11.6 ,10.4 ,10.1 ,6.9 ,: 
"TOTAL,A_MD60,PC,SE",: ,1.3 ,1.3 ,2.2 ,1.6 ,1.4 b,1.2 ,1.6 ,1.5 ,1.3 ,0.4 ,0.8 ,0.9 ,2.2 ,1.6 ,1.8 ,: 
"TOTAL,A_MD60,PC,SI",: ,: ,2.0 ,2.3 ,3.2 ,4.3 ,3.7 ,3.5 ,4.2 ,4.3 ,3.5 ,3.9 ,4.3 ,3.3 ,2.8 ,2.0 ,: 
"TOTAL,A_MD60,PC,SK",: ,: ,12.8 ,8.5 ,3.4 ,5.0 ,2.6 ,2.9 ,3.4 ,4.3 ,3.8 ,3.8 ,4.2 ,3.4 ,2.4 ,3.3 ,: 
"TOTAL,A_MD60,PC,TR",: ,: ,: ,31.3 ,30.6 ,34.3 ,31.7 ,: ,29.0 ,30.1 ,20.4 ,9.3 ,7.3 ,17.3 ,13.4 ,: ,: 
"TOTAL,A_MD60,PC,UK",: ,: ,4.4 ,3.7 ,3.4 ,4.6 ,4.7 ,4.9 ,5.5 ,5.9 b,8.5 ,7.2 ,5.6 ,4.5 ,4.6 b,4.1 p,: 
"TOTAL,B_MD60,PC,AT",7.0 ,5.2 ,6.0 ,7.7 ,9.1 ,10.0 b,7.8 ,9.0 ,8.6 ,7.7 ,8.3 ,7.7 ,8.0 ,8.7 ,9.5 ,4.8 ,: 
"TOTAL,B_MD60,PC,BE",11.8 ,9.9 ,29.0 ,31.0 ,32.8 ,17.0 ,15.0 ,16.2 ,20.9 ,18.7 ,18.4 ,18.3 ,14.8 ,16.2 ,20.0 ,18.5 ,: 
"TOTAL,B_MD60,PC,BG",: ,: ,79.0 ,79.0 ,82.1 ,81.4 ,80.2 ,83.3 ,68.9 ,70.0 ,69.7 ,66.0 b,66.8 ,61.9 b,59.5 ,56.0 ,: 
"TOTAL,B_MD60,PC,CH",: ,: ,: ,: ,9.4 ,8.4 ,11.1 ,11.0 ,1.4 ,1.0 ,0.7 ,2.6 b,0.8 ,2.0 ,0.7 ,1.8 ,: 
"TOTAL,B_MD60,PC,CY",: ,: ,51.3 ,56.3 ,63.0 ,48.1 b,37.8 ,40.1 ,46.3 ,50.6 ,51.0 ,47.5 ,49.2 ,49.0 ,46.8 ,45.4 ,: 
"TOTAL,B_MD60,PC,CZ",: ,: ,19.5 ,20.2 ,17.3 ,16.8 ,12.7 ,11.2 ,13.4 ,15.3 ,14.6 ,15.6 ,13.5 ,13.0 ,9.2 ,8.9 ,: 
"TOTAL,B_MD60,PC,DE",: ,: ,13.7 ,15.0 ,14.9 ,17.2 ,16.2 ,15.7 ,16.8 ,14.8 ,16.5 ,13.3 ,12.7 ,12.4 ,9.8 ,8.9 ,: 
"TOTAL,B_MD60,PC,DK",16.2 ,14.2 ,14.5 ,16.4 ,18.2 ,6.0 ,2.8 ,4.9 ,7.4 ,8.4 ,10.2 ,5.8 ,12.7 ,7.9 ,6.6 ,7.8 ,8.4 
"TOTAL,B_MD60,PC,EA18",: ,: ,20.2 ,20.8 ,19.8 ,18.8 ,19.0 ,20.0 ,21.7 ,24.1 ,23.7 ,23.7 ,22.8 ,21.6 ,19.3 ,19.0 ,: 
"TOTAL,B_MD60,PC,EA19",: ,: ,20.5 ,21.0 ,20.0 ,19.0 ,19.1 ,20.2 ,21.9 ,24.2 ,23.8 ,23.8 ,23.0 ,21.6 ,19.5 ,19.2 ,: 
"TOTAL,B_MD60,PC,EE",: ,10.5 ,5.9 ,5.0 ,8.3 ,3.0 ,4.7 ,9.0 ,8.1 ,9.6 ,5.7 ,3.7 b,6.1 ,6.1 ,8.1 ,4.2 ,: 
"TOTAL,B_MD60,PC,EL",37.4 ,32.0 ,30.3 ,24.7 ,29.4 ,29.9 ,36.8 ,38.4 ,38.8 ,47.6 ,48.4 ,52.6 ,50.9 ,52.5 ,45.3 ,41.2 ,: 
"TOTAL,B_MD60,PC,ES",: ,17.1 ,17.1 ,21.4 ,17.2 ,13.1 ,15.2 b,15.6 ,13.2 ,18.9 ,15.6 ,23.5 ,23.3 ,23.2 ,19.4 ,20.8 ,: 
"TOTAL,B_MD60,PC,EU",: ,: ,: ,: ,: ,: ,: ,: ,22.0 ,24.5 ,24.1 ,23.5 ,22.7 ,21.0 ,18.4 ,17.9 ,: 
"TOTAL,B_MD60,PC,EU27_2007",: ,: ,: ,: ,22.9 ,20.9 ,20.5 ,21.1 ,22.0 ,24.5 ,24.1 ,23.5 ,22.7 ,21.0 ,18.4 ,17.8 ,: 
"TOTAL,B_MD60,PC,EU27_2020",: ,: ,: ,: ,: ,: ,: ,22.4 e,23.4 e,25.2 e,24.5 e,23.9 e,23.3 e,21.8 e,19.3 e,19.0 e,: 
"TOTAL,B_MD60,PC,EU28",: ,: ,: ,: ,: ,: ,: ,21.1 ,22.0 ,24.5 ,24.1 ,23.5 ,22.7 ,21.0 ,18.4 ,17.9 ,: 
"TOTAL,B_MD60,PC,FI",: ,3.6 ,4.0 ,4.8 ,2.6 ,4.3 ,3.5 ,3.5 ,3.8 ,3.8 ,2.8 ,3.3 ,3.7 ,3.8 ,2.3 ,3.1 ,: 
"TOTAL,B_MD60,PC,FR",: ,16.5 ,12.9 ,15.7 ,12.8 ,11.5 ,15.0 ,15.3 ,16.9 ,15.2 ,17.7 ,15.0 ,16.3 ,14.0 ,15.0 ,15.6 ,: 
"TOTAL,B_MD60,PC,HR",: ,: ,: ,: ,: ,: ,: ,18.9 ,22.5 ,23.9 ,24.0 ,24.3 ,23.7 ,21.7 ,20.3 ,21.2 ,: 
"TOTAL,B_MD60,PC,HU",: ,: ,33.9 ,26.0 ,23.7 ,21.1 ,16.8 ,23.2 ,29.4 ,35.1 ,34.0 ,29.4 ,24.7 ,22.7 ,15.0 ,19.9 ,: 
"TOTAL,B_MD60,PC,IE",8.2 ,7.8 ,11.4 ,10.4 ,9.9 ,7.6 ,10.3 ,16.0 ,12.5 ,16.2 ,19.5 ,17.0 ,18.6 ,14.8 ,12.7 ,11.6 p,: 
"TOTAL,B_MD60,PC,IS",: ,11.5 ,12.6 ,13.4 ,13.2 ,2.6 b,1.5 ,2.2 ,3.7 ,3.5 ,2.7 ,4.4 ,2.9 ,3.6 ,: ,: ,: 
"TOTAL,B_MD60,PC,IT",: ,25.5 ,26.5 ,24.4 ,25.0 ,26.1 ,26.3 ,28.0 ,36.1 ,44.0 ,40.4 ,38.3 ,35.9 ,32.4 ,29.1 ,30.0 ,: 
"TOTAL,B_MD60,PC,LT",: ,: ,45.1 ,36.9 ,33.9 ,30.9 ,32.4 ,34.1 ,40.1 ,38.2 ,34.0 ,34.7 ,39.4 ,29.8 ,35.6 ,35.5 ,: 
"TOTAL,B_MD60,PC,LU",3.3 ,3.9 ,3.2 ,2.9 ,2.3 ,3.0 ,1.1 ,1.7 ,2.2 ,2.2 ,4.5 ,2.0 ,3.3 ,4.0 b,3.9 ,6.2 ,: 
"TOTAL,B_MD60,PC,LV",: ,: ,44.7 ,38.9 ,40.1 ,33.0 ,28.9 ,33.7 ,40.8 ,35.1 ,35.5 ,31.0 ,29.1 ,22.7 ,20.3 ,15.4 ,15.9 
"TOTAL,B_MD60,PC,ME",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,23.1 ,12.5 ,17.9 ,19.2 ,16.5 ,: ,: 
"TOTAL,B_MD60,PC,MK",: ,: ,: ,: ,: ,: ,: ,49.0 ,48.9 ,45.9 ,41.2 ,51.0 ,44.2 ,39.0 ,33.8 ,37.7 ,: 
"TOTAL,B_MD60,PC,MT",: ,: ,17.2 ,16.8 ,16.5 ,13.9 ,17.5 ,25.1 ,28.1 ,32.1 ,35.5 ,36.4 ,27.4 ,13.3 ,15.8 ,15.8 ,: 
"TOTAL,B_MD60,PC,NL",: ,: ,9.6 ,7.2 ,4.6 ,4.7 ,4.3 ,9.6 ,6.6 ,8.7 ,6.3 ,9.0 ,8.2 ,7.9 b,7.8 ,6.3 ,: 
"TOTAL,B_MD60,PC,NO",6.3 ,7.0 ,4.4 ,4.4 ,2.3 ,3.3 ,2.4 ,2.8 ,4.3 ,2.3 ,3.6 ,2.3 ,2.4 ,4.5 ,3.9 ,4.9 ,: 
"TOTAL,B_MD60,PC,PL",: ,: ,51.2 ,46.1 ,39.3 ,34.4 b,33.2 ,30.7 ,28.7 ,27.6 ,23.8 ,20.7 ,18.7 ,16.7 ,15.1 ,13.7 ,11.5 
"TOTAL,B_MD60,PC,PT",: ,56.9 ,62.1 ,60.6 ,64.9 ,56.0 ,44.3 ,49.7 ,44.8 ,43.1 ,44.6 ,47.5 ,43.3 ,42.7 ,38.9 ,37.0 ,: 
"TOTAL,B_MD60,PC,RO",: ,: ,: ,: ,46.0 ,33.3 ,29.8 ,26.9 ,26.7 ,25.8 ,25.6 ,24.6 ,27.3 ,25.6 ,17.4 ,18.2 ,: 
"TOTAL,B_MD60,PC,RS",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,30.0 ,27.2 ,25.2 ,21.6 ,21.7 ,19.4 ,: 
"TOTAL,B_MD60,PC,SE",: ,3.9 ,2.3 ,5.0 ,3.4 ,3.5 b,4.6 ,5.3 ,4.3 ,4.0 ,3.9 ,2.9 ,2.5 ,4.6 ,5.3 ,4.6 ,: 
"TOTAL,B_MD60,PC,SI",: ,: ,6.6 ,8.7 ,11.4 ,14.3 ,11.5 ,13.1 ,12.4 ,17.3 ,13.1 ,15.4 ,13.6 ,14.2 ,11.5 ,11.4 ,: 
"TOTAL,B_MD60,PC,SK",: ,: ,18.9 ,19.3 ,14.7 ,13.8 ,12.1 ,15.6 ,10.4 ,13.6 ,16.1 ,22.4 ,17.8 ,17.0 ,17.3 ,15.8 ,: 
"TOTAL,B_MD60,PC,TR",: ,: ,: ,61.2 ,64.8 ,61.4 ,55.9 ,: ,56.3 ,59.9 ,58.7 ,36.1 ,45.8 ,47.6 ,46.4 ,: ,: 
"TOTAL,B_MD60,PC,UK",: ,: ,11.0 ,9.2 ,9.1 ,11.5 ,11.0 ,11.9 ,11.4 ,19.2 b,21.7 ,20.2 ,18.6 ,14.2 ,12.4 b,11.3 p,: 
"TOTAL,TOTAL,PC,AT",2.9 ,2.3 ,3.2 ,3.8 ,2.6 ,3.9 b,2.9 ,3.8 ,2.7 ,3.2 ,2.7 ,3.2 ,2.6 ,2.7 ,2.4 ,1.6 ,: 
"TOTAL,TOTAL,PC,BE",6.0 ,6.4 ,14.1 ,14.5 ,14.6 ,6.4 ,5.1 ,5.6 ,7.1 ,6.6 ,5.8 ,5.4 ,5.2 ,4.8 ,5.7 ,5.2 ,3.9 b
"TOTAL,TOTAL,PC,BG",: ,: ,69.5 ,69.5 ,67.4 ,66.3 ,64.2 ,66.5 ,46.3 ,46.5 ,44.9 ,40.5 b,39.2 ,39.2 b,36.5 ,33.7 ,: 
"TOTAL,TOTAL,PC,CH",: ,: ,: ,: ,6.9 ,6.9 ,7.6 ,7.3 ,0.7 ,0.4 ,0.4 ,0.7 b,0.6 ,0.6 ,0.4 ,0.6 ,: 
"TOTAL,TOTAL,PC,CY",: ,: ,33.7 ,33.8 ,34.6 ,29.2 b,21.7 ,27.3 ,26.6 ,30.7 ,30.5 ,27.5 ,28.3 ,24.3 ,22.9 ,21.9 ,: 
"TOTAL,TOTAL,PC,CZ",: ,: ,9.3 ,8.9 ,6.1 ,6.0 ,5.2 ,5.2 ,6.4 ,6.7 ,6.2 ,6.1 ,5.0 ,3.8 ,3.1 ,2.7 ,: 
"TOTAL,TOTAL,PC,DE",: ,: ,4.6 ,5.5 ,5.4 ,5.9 ,5.5 ,5.0 ,5.2 ,4.7 ,5.3 ,4.9 ,4.1 ,3.7 ,3.3 ,2.7 ,: 
"TOTAL,TOTAL,PC,DK",10.5 ,10.1 ,8.9 ,9.4 ,10.3 ,1.7 ,1.5 ,1.9 ,2.3 ,2.5 ,3.8 ,2.9 ,3.6 ,2.7 ,2.7 ,3.0 ,2.8 
"TOTAL,TOTAL,PC,EA18",: ,: ,8.6 ,8.7 ,8.1 ,7.8 ,7.5 ,7.8 ,8.9 ,10.1 ,10.0 ,10.1 ,9.3 ,8.6 ,7.8 ,7.4 ,: 
"TOTAL,TOTAL,PC,EA19",: ,: ,8.9 ,8.9 ,8.3 ,8.0 ,7.7 ,8.0 ,9.2 ,10.4 ,10.1 ,10.2 ,9.4 ,8.8 ,8.0 ,7.6 ,: 
"TOTAL,TOTAL,PC,EE",: ,5.8 ,2.6 ,2.3 ,3.6 ,1.1 ,1.7 ,3.1 ,3.0 ,4.2 ,2.9 ,1.7 b,2.0 ,2.7 ,2.9 ,2.3 ,2.5 p
"TOTAL,TOTAL,PC,EL",17.4 ,16.8 ,15.7 ,12.0 ,13.8 ,15.4 ,15.7 ,15.4 ,18.6 ,26.1 ,29.5 ,32.9 ,29.2 ,29.1 ,25.7 ,22.7 ,17.9 p
"TOTAL,TOTAL,PC,ES",: ,9.5 ,9.4 ,10.1 ,8.0 ,5.9 ,7.2 b,7.5 ,6.5 ,9.1 ,8.0 ,11.1 ,10.6 ,10.1 ,8.0 ,9.1 ,: 
"TOTAL,TOTAL,PC,EU",: ,: ,: ,: ,: ,: ,: ,: ,9.8 ,10.8 ,10.7 ,10.2 ,9.4 ,8.7 ,7.8 ,7.3 ,: 
"TOTAL,TOTAL,PC,EU27_2007",: ,: ,: ,: ,10.9 ,10.1 ,9.3 ,9.5 ,9.8 ,10.8 ,10.8 ,10.3 ,9.4 ,8.7 ,7.8 ,7.3 ,: 
"TOTAL,TOTAL,PC,EU27_2020",: ,: ,: ,: ,: ,: ,: ,9.9 e,10.3 e,11.2 e,10.8 e,10.4 e,9.6 e,9.0 e,8.1 e,7.6 e,: 
"TOTAL,TOTAL,PC,EU28",: ,: ,: ,: ,: ,: ,: ,9.5 ,9.8 ,10.8 ,10.7 ,10.3 ,9.4 ,8.7 ,7.8 ,7.3 ,: 
"TOTAL,TOTAL,PC,FI",: ,3.3 ,2.6 ,2.4 ,1.1 ,1.9 ,1.3 ,1.4 ,1.8 ,1.5 ,1.2 ,1.5 ,1.7 ,1.7 ,2.0 ,1.7 ,: 
"TOTAL,TOTAL,PC,FR",: ,5.9 ,5.3 ,5.9 ,4.6 ,5.3 ,5.5 ,5.7 ,6.0 ,6.0 ,6.6 ,5.9 ,5.5 ,5.0 ,4.9 ,5.0 ,: 
"TOTAL,TOTAL,PC,HR",: ,: ,: ,: ,: ,: ,: ,8.3 ,9.8 ,10.2 ,9.9 ,9.7 ,9.9 ,9.3 ,7.4 ,7.7 ,6.6 p
"TOTAL,TOTAL,PC,HU",: ,: ,17.7 ,14.8 ,10.8 ,9.7 ,8.9 ,10.7 ,12.2 ,15.0 ,14.6 ,11.6 ,9.6 ,9.2 ,6.8 ,6.1 ,: 
"TOTAL,TOTAL,PC,IE",3.2 ,3.3 ,4.0 ,3.8 ,3.5 ,3.7 ,4.1 ,6.8 ,6.8 ,8.4 ,10.0 ,8.9 ,9.0 ,5.9 ,4.4 ,4.4 p,: 
"TOTAL,TOTAL,PC,IS",: ,7.4 ,9.3 ,10.5 ,9.1 ,1.0 b,1.0 ,1.4 ,2.0 ,1.5 ,1.4 ,1.8 ,1.4 ,1.6 ,: ,: ,: 
"TOTAL,TOTAL,PC,IT",: ,10.9 ,11.0 ,10.4 ,10.7 ,11.4 ,10.8 ,11.6 ,17.8 ,21.3 ,18.8 ,18.0 ,17.0 ,16.1 ,15.2 ,14.1 ,: 
"TOTAL,TOTAL,PC,LT",: ,: ,34.8 ,27.6 ,22.4 ,22.6 ,24.1 ,25.2 ,36.2 ,34.1 ,29.2 ,26.5 ,31.1 ,29.3 ,28.9 ,27.9 ,: 
"TOTAL,TOTAL,PC,LU",1.1 ,0.7 ,0.9 ,0.6 ,0.5 ,0.9 ,0.3 ,0.5 ,0.9 ,0.6 ,1.6 ,0.6 ,0.9 ,1.7 b,1.9 ,2.1 ,: 
"TOTAL,TOTAL,PC,LV",: ,: ,29.8 ,25.7 ,20.9 ,16.8 ,16.4 ,19.1 ,22.5 ,19.9 ,21.1 ,16.8 ,14.5 ,10.6 ,9.7 ,7.5 ,8.0 
"TOTAL,TOTAL,PC,ME",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,12.4 ,8.6 ,8.6 ,6.3 ,4.5 ,: ,: 
"TOTAL,TOTAL,PC,MK",: ,: ,: ,: ,: ,: ,: ,28.8 ,26.7 ,26.8 ,26.4 ,26.1 ,23.4 ,25.7 ,24.0 ,24.9 ,: 
"TOTAL,TOTAL,PC,MT",: ,: ,12.6 ,10.8 ,10.2 ,8.8 ,11.1 ,14.3 ,17.6 ,22.1 ,23.9 ,22.3 ,14.1 ,6.6 ,6.3 ,7.6 ,8.1 p
"TOTAL,TOTAL,PC,NL",: ,: ,3.1 ,2.2 ,1.6 ,1.8 ,1.3 ,2.3 ,1.6 ,2.2 ,2.9 ,2.6 ,2.9 ,2.6 b,2.4 ,2.2 ,: 
"TOTAL,TOTAL,PC,NO",2.8 ,1.8 ,1.3 ,1.5 ,0.8 ,0.8 ,0.8 ,0.7 ,1.2 ,0.7 ,0.9 ,0.6 ,0.5 ,0.9 ,0.8 ,0.9 ,1.0 p
"TOTAL,TOTAL,PC,PL",: ,: ,33.6 ,28.4 ,22.7 ,20.1 b,16.3 ,14.8 ,13.6 ,13.2 ,11.4 ,9.0 ,7.5 ,7.1 ,6.0 ,5.1 ,4.2 
"TOTAL,TOTAL,PC,PT",: ,36.3 ,40.0 ,39.9 ,41.9 ,34.9 ,28.5 ,30.1 ,26.8 ,27.0 ,27.9 ,28.3 ,23.8 ,22.5 ,20.4 ,19.4 ,: 
"TOTAL,TOTAL,PC,RO",: ,: ,: ,: ,33.3 ,24.4 ,22.1 ,20.1 ,15.6 ,15.0 ,14.7 ,12.9 ,13.1 ,13.8 ,11.3 ,9.6 ,: 
"TOTAL,TOTAL,PC,RS",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18.3 ,17.1 ,15.2 ,13.3 ,13.1 ,10.0 ,: 
"TOTAL,TOTAL,PC,SE",: ,1.6 ,1.4 ,2.5 ,1.8 ,1.6 b,1.7 ,2.1 ,1.9 ,1.7 ,0.9 ,1.1 ,1.2 ,2.6 ,2.1 ,2.3 ,: 
"TOTAL,TOTAL,PC,SI",: ,: ,2.6 ,3.0 ,4.2 ,5.6 ,4.6 ,4.7 ,5.4 ,6.1 ,4.9 ,5.6 ,5.6 ,4.8 ,3.9 ,3.3 ,2.3 p
"TOTAL,TOTAL,PC,SK",: ,: ,13.6 ,9.7 ,4.6 ,6.0 ,3.6 ,4.4 ,4.3 ,5.5 ,5.4 ,6.1 ,5.8 ,5.1 ,4.3 ,4.8 ,7.8 p
"TOTAL,TOTAL,PC,TR",: ,: ,: ,39.3 ,39.1 ,41.0 ,37.8 ,: ,35.4 ,37.2 ,29.3 ,15.5 ,15.9 ,24.2 ,20.7 ,: ,: 
"TOTAL,TOTAL,PC,UK",: ,: ,5.7 ,4.8 ,4.5 ,6.0 ,5.8 ,6.1 ,6.5 ,8.1 b,10.6 ,9.4 ,7.8 ,6.1 ,5.9 b,5.4 p,: 
