Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2018","Tuberculosis†, Cum 2018, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag",Location 1,Location 2
UNITED STATES,2018,1,1216,,1216,,2475,,1216,,1268,,,
NEW ENGLAND,2018,1,57,,57,,97,,57,,39,,,
MID. ATLANTIC,2018,1,271,,271,,358,,271,,176,,,
NEW YORK CITY,2018,1,157,,150,,168,,157,,95,,,
E.N. CENTRAL,2018,1,125,,125,,247,,125,,107,,,
W.N. CENTRAL,2018,1,39,,39,,120,,39,,49,,,
S. ATLANTIC,2018,1,218,,218,,477,,218,,189,,,
E.S. CENTRAL,2018,1,106,,77,,106,,106,,59,,,
W.S. CENTRAL,2018,1,44,,44,,379,,44,,225,,,
MOUNTAIN,2018,1,36,,36,,132,,36,,66,,,
PACIFIC,2018,1,320,,320,,681,,320,,358,,,
AMER. SAMOA,2018,1,,-,0,,2,,,-,,-,,
INDIANA,2018,1,19,,19,,33,,19,,16,,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2018,1,54,,52,,111,,54,,58,,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2018,1,6,,6,,307,,6,,176,,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2018,1,46,,46,,82,,46,,50,,"GEORGIA
(32.836038, -83.631709)",
OHIO,2018,1,24,,24,,56,,24,,14,,"OHIO
(40.056807, -82.405897)",
ALASKA,2018,1,5,,5,,19,,5,,8,,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2018,1,14,,10,,15,,14,,7,,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2018,1,23,,13,,23,,23,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGINIA,2018,1,28,,28,,90,,28,,10,,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2018,1,2,,2,,6,,2,,5,,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2018,1,33,,33,,56,,33,,34,,"PENNSYLVANIA
(40.789676, -77.858055)",
ARIZONA,2018,1,7,,7,,55,,7,,33,,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2018,1,9,,2,,9,,9,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2018,1,51,,47,,51,,51,,25,,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2018,1,36,,36,,65,,36,,11,,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2018,1,3,,3,,14,,3,,6,,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2018,1,1,,1,,6,,1,,4,,"MAINE
(45.252223, -68.986647)",
ALABAMA,2018,1,23,,23,,31,,23,,22,,"ALABAMA
(32.839182, -86.631125)",
VERMONT,2018,1,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2018,1,1,,1,,6,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WASHINGTON,2018,1,10,,10,,59,,10,,26,,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2018,1,21,,21,,86,,21,,17,,"NORTH CAROLINA
(35.47995, -79.180571)",
WYOMING,2018,1,,-,0,,0,,,-,2,,"WYOMING
(43.23558, -108.110518)",
CONNECTICUT,2018,1,10,,10,,21,,10,,8,,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2018,1,1,,1,,4,,1,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2018,1,2,,2,,12,,2,,6,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2018,1,10,,10,,29,,10,,4,,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2018,1,,-,0,,5,,,-,2,,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2018,1,18,,11,,18,,18,,7,,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2018,1,79,,79,,155,,79,,86,,"FLORIDA
(28.915325, -81.922409)",
VIRGIN ISL.,2018,1,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH CAROLINA,2018,1,4,,4,,40,,4,,6,,"SOUTH CAROLINA
(34.009286, -81.037094)",
LOUISIANA,2018,1,12,,12,,36,,12,,30,,"LOUISIANA
(31.2931, -92.463284)",
MASSACHUSETTS,2018,1,36,,36,,65,,36,,23,,"MASSACHUSETTS
(42.268546, -72.085064)",
KENTUCKY,2018,1,13,,13,,17,,13,,11,,"KENTUCKY
(37.64591, -84.774043)",
MONTANA,2018,1,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2018,1,2,,2,,23,,2,,7,,"MISSOURI
(38.636168, -92.566292)",
UTAH,2018,1,8,,2,,8,,8,,7,,"UTAH
(39.359772, -111.584173)",
KANSAS,2018,1,2,,2,,11,,2,,6,,"KANSAS
(38.345528, -98.201847)",
CALIFORNIA,2018,1,264,,264,,550,,264,,292,,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2018,1,1,,1,,23,,1,,15,,"GUAM
(13.3532, 144.653198)",
IDAHO,2018,1,2,,0,,4,,2,,3,,"IDAHO
(43.680635, -114.364237)",
HAWAII,2018,1,24,,21,,33,,24,,23,,"HAWAII
(21.30992, -157.858158)",
C.N.M.I.,2018,1,6,,6,,12,,6,,7,,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DIST. OF COL.,2018,1,4,,4,,10,,4,,6,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TENNESSEE,2018,1,47,,28,,47,,47,,24,,"TENNESSEE
(35.681402, -85.774444)",
MINNESOTA,2018,1,28,,28,,77,,28,,14,,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2018,1,7,,7,,28,,7,,10,,"COLORADO
(38.841772, -106.132562)",
NORTH DAKOTA,2018,1,4,,0,,9,,4,,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2018,1,14,,14,,37,,14,,12,,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2018,1,,-,0,,17,,,-,8,,"IOWA
(42.46942, -93.815856)",
ARKANSAS,2018,1,8,,8,,29,,8,,12,,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2018,1,,-,0,,7,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2018,1,30,,30,,107,,30,,22,,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2018,1,17,,10,,22,,17,,9,,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2018,2,12,,12,,19,,31,,24,,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2018,2,73,,30,,108,,103,,95,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2018,2,32,,19,,33,,51,,44,,"INDIANA
(39.76845, -86.156212)",
IOWA,2018,2,4,,4,,17,,14,,23,,"IOWA
(42.46942, -93.815856)",
MARYLAND,2018,2,47,,37,,65,,84,,83,,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2018,2,5,,5,,14,,19,,28,,"WISCONSIN
(44.395526, -89.834513)",
NORTH DAKOTA,2018,2,1,,0,,9,,5,,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
E.S. CENTRAL,2018,2,107,,89,,107,,212,,173,,,
W.S. CENTRAL,2018,2,48,,48,,337,,192,,732,,,
MICHIGAN,2018,2,2,,2,,37,,29,,53,,"MICHIGAN
(44.66399, -84.711206)",
MID. ATLANTIC,2018,2,307,,268,,354,,575,,578,,,
NEW ENGLAND,2018,2,53,,53,,97,,127,,134,,,
OREGON,2018,2,16,,10,,21,,34,,38,,"OREGON
(44.567912, -120.156945)",
GUAM,2018,2,,-,0,,23,,1,,41,,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2018,2,4,,1,,4,,6,,9,,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2018,2,27,,4,,40,,31,,24,,"SOUTH CAROLINA
(34.009286, -81.037094)",
RHODE ISLAND,2018,2,2,,2,,8,,10,,5,,"RHODE ISLAND
(41.707447, -71.522488)",
S. ATLANTIC,2018,2,349,,293,,478,,642,,698,,,
WASHINGTON,2018,2,4,,4,,55,,47,,100,,"WASHINGTON
(47.517368, -120.467672)",
ALASKA,2018,2,17,,8,,19,,27,,26,,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2018,2,44,,44,,49,,93,,86,,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2018,2,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2018,2,2,,0,,7,,2,,7,,"WEST VIRGINIA
(38.668501, -80.709421)",
KANSAS,2018,2,,-,0,,11,,2,,13,,"KANSAS
(38.345528, -98.201847)",
ARIZONA,2018,2,11,,11,,55,,47,,93,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2018,2,21,,13,,21,,34,,32,,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2018,2,,-,0,,23,,2,,40,,"MISSOURI
(38.636168, -92.566292)",
PACIFIC,2018,2,389,,389,,635,,898,,1234,,,
LOUISIANA,2018,2,7,,7,,36,,38,,76,,"LOUISIANA
(31.2931, -92.463284)",
GEORGIA,2018,2,49,,49,,82,,108,,144,,"GEORGIA
(32.836038, -83.631709)",
AMER. SAMOA,2018,2,1,,0,,2,,1,,,-,,
W.N. CENTRAL,2018,2,60,,52,,120,,112,,158,,,
TEXAS,2018,2,21,,21,,270,,102,,593,,"TEXAS
(31.827233, -99.423022)",
IDAHO,2018,2,2,,2,,5,,7,,4,,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2018,2,43,,29,,90,,72,,69,,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2018,2,51,,28,,77,,79,,58,,"MINNESOTA
(46.357661, -94.793397)",
C.N.M.I.,2018,2,,-,0,,11,,7,,21,,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEVADA,2018,2,22,,10,,29,,32,,31,,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2018,2,92,,52,,110,,147,,174,,"ILLINOIS
(40.477092, -88.993221)",
E.N. CENTRAL,2018,2,169,,139,,246,,308,,368,,,
CONNECTICUT,2018,2,10,,10,,21,,25,,27,,"CONNECTICUT
(41.544654, -72.651713)",
MAINE,2018,2,9,,1,,9,,10,,7,,"MAINE
(45.252223, -68.986647)",
MASSACHUSETTS,2018,2,32,,32,,64,,77,,86,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2018,2,28,,13,,28,,50,,20,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2018,2,,-,0,,6,,5,,8,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MONTANA,2018,2,,-,0,,0,,,-,3,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2018,2,52,,21,,86,,73,,81,,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2018,2,38,,24,,56,,62,,69,,"OHIO
(40.056807, -82.405897)",
CALIFORNIA,2018,2,335,,335,,517,,743,,1004,,"CALIFORNIA
(37.640735, -121.002435)",
NEW YORK CITY,2018,2,126,,126,,168,,275,,290,,,
UTAH,2018,2,2,,2,,8,,10,,19,,"UTAH
(39.359772, -111.584173)",
MOUNTAIN,2018,2,68,,68,,133,,142,,211,,,
HAWAII,2018,2,17,,17,,30,,47,,66,,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2018,2,24,,23,,31,,47,,60,,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2018,2,8,,8,,29,,21,,39,,"ARKANSAS
(34.748745, -92.275105)",
TENNESSEE,2018,2,34,,30,,47,,81,,61,,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2018,2,21,,9,,27,,30,,42,,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2018,2,10,,6,,12,,16,,17,,"NEW MEXICO
(34.520396, -106.244402)",
PUERTO RICO,2018,2,6,,3,,14,,9,,15,,"PUERTO RICO
(18.215692, -66.414655)",
DELAWARE,2018,2,4,,0,,4,,4,,9,,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2018,2,64,,37,,64,,104,,107,,"PENNSYLVANIA
(40.789676, -77.858055)",
UNITED STATES,2018,2,1550,,1550,,2480,,3208,,4286,,,
NEBRASKA,2018,2,,-,0,,6,,4,,11,,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2018,2,14,,6,,14,,20,,16,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGIN ISL.,2018,2,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2018,2,111,,111,,155,,248,,265,,"FLORIDA
(28.915325, -81.922409)",
WYOMING,2018,2,,-,0,,0,,,-,2,,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2018,3,1,,1,,5,,8,,13,,"NORTH DAKOTA
(47.475879, -100.121011)",
E.S. CENTRAL,2018,3,82,,82,,111,,298,,264,,,
ALASKA,2018,3,6,,6,,19,,35,,34,,"ALASKA
(64.836661, -147.738891)",
UNITED STATES,2018,3,1419,,1419,,2481,,5271,,6547,,,
W.N. CENTRAL,2018,3,40,,40,,121,,179,,265,,,
PUERTO RICO,2018,3,5,,3,,14,,14,,26,,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2018,3,10,,10,,23,,40,,61,,"GUAM
(13.3532, 144.653198)",
ALABAMA,2018,3,29,,23,,29,,76,,91,,"ALABAMA
(32.839182, -86.631125)",
LOUISIANA,2018,3,20,,20,,36,,79,,105,,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2018,3,55,,41,,65,,161,,144,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2018,3,,-,0,,12,,18,,24,,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2018,3,46,,21,,86,,125,,127,,"NORTH CAROLINA
(35.47995, -79.180571)",
MOUNTAIN,2018,3,44,,44,,133,,209,,300,,,
VIRGINIA,2018,3,32,,29,,90,,107,,114,,"VIRGINIA
(37.542699, -78.45822)",
MISSOURI,2018,3,,-,0,,24,,3,,61,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2018,3,75,,30,,108,,180,,175,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGIN ISL.,2018,3,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2018,3,39,,39,,65,,134,,142,,"MARYLAND
(39.290443, -76.612333)",
RHODE ISLAND,2018,3,5,,2,,8,,16,,11,,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2018,3,33,,24,,56,,100,,96,,"OHIO
(40.056807, -82.405897)",
PACIFIC,2018,3,356,,356,,635,,1480,,1845,,,
NEBRASKA,2018,3,4,,1,,6,,10,,15,,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2018,3,13,,13,,37,,59,,85,,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2018,3,2,,0,,2,,3,,2,,"VERMONT
(43.622479, -72.51927)",
MAINE,2018,3,1,,1,,10,,12,,13,,"MAINE
(45.252223, -68.986647)",
S. ATLANTIC,2018,3,303,,276,,477,,1006,,1145,,,
TENNESSEE,2018,3,32,,30,,47,,115,,92,,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2018,3,5,,5,,12,,21,,25,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2018,3,11,,9,,27,,44,,57,,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2018,3,107,,107,,151,,395,,420,,"FLORIDA
(28.915325, -81.922409)",
MID. ATLANTIC,2018,3,297,,272,,354,,884,,910,,,
E.N. CENTRAL,2018,3,152,,140,,246,,482,,513,,,
