Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2018","Tuberculosis†, Cum 2018, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag",Location 1,Location 2
IDAHO,2018,3,4,,2,,5,,11,,8,,"IDAHO
(43.680635, -114.364237)",
IOWA,2018,3,,-,0,,10,,18,,41,,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2018,3,14,,13,,22,,49,,48,,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2018,3,17,,17,,30,,77,,93,,"HAWAII
(21.30992, -157.858158)",
UTAH,2018,3,5,,2,,8,,15,,21,,"UTAH
(39.359772, -111.584173)",
ARIZONA,2018,3,3,,3,,55,,67,,133,,"ARIZONA
(34.869712, -111.760902)",
MASSACHUSETTS,2018,3,34,,34,,63,,122,,145,,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH DAKOTA,2018,3,1,,1,,5,,8,,10,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2018,3,16,,13,,17,,45,,68,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK CITY,2018,3,127,,126,,151,,404,,458,,,
OKLAHOMA,2018,3,19,,13,,21,,53,,38,,"OKLAHOMA
(35.468494, -97.521264)",
AMER. SAMOA,2018,3,,-,0,,2,,1,,,-,,
C.N.M.I.,2018,3,3,,3,,16,,27,,27,,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2018,3,1,,0,,2,,3,,14,,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2018,3,,-,0,,55,,86,,150,,"WASHINGTON
(47.517368, -120.467672)",
DIST. OF COL.,2018,3,6,,6,,14,,26,,26,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2018,3,16,,3,,37,,46,,64,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2018,3,40,,40,,50,,139,,133,,"NEW YORK
(42.826892, -75.544286)",
W.S. CENTRAL,2018,3,98,,98,,338,,544,,1073,,,
ILLINOIS,2018,3,74,,55,,110,,221,,226,,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2018,3,8,,5,,14,,27,,39,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2018,3,1,,0,,2,,4,,3,,"MONTANA
(47.062617, -109.430168)",
TEXAS,2018,3,43,,43,,271,,367,,862,,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2018,3,34,,28,,77,,114,,101,,"MINNESOTA
(46.357661, -94.793397)",
NEW ENGLAND,2018,3,47,,47,,88,,189,,232,,,
MISSISSIPPI,2018,3,7,,7,,29,,58,,33,,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2018,3,5,,5,,15,,31,,48,,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2018,3,,-,0,,6,,5,,13,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CALIFORNIA,2018,3,319,,319,,517,,1234,,1520,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2018,3,,-,0,,0,,,-,2,,"WYOMING
(43.23558, -108.110518)",
NEVADA,2018,3,15,,10,,29,,47,,51,,"NEVADA
(39.491833, -117.070159)",
OREGON,2018,3,14,,14,,21,,48,,48,,"OREGON
(44.567912, -120.156945)",
GEORGIA,2018,3,56,,41,,66,,163,,226,,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2018,3,,-,0,,7,,7,,12,,"DELAWARE
(39.008676, -75.574561)",
INDIANA,2018,3,24,,19,,33,,75,,67,,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2018,4,8,,6,,9,,32,,37,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2018,4,15,,9,,23,,66,,84,,"COLORADO
(38.841772, -106.132562)",
VIRGIN ISL.,2018,4,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2018,4,30,,30,,47,,144,,122,,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2018,4,16,,13,,29,,80,,46,,"MISSISSIPPI
(32.738663, -89.537312)",
W.S. CENTRAL,2018,4,172,,172,,320,,1079,,1413,,,
MICHIGAN,2018,4,21,,19,,28,,92,,122,,"MICHIGAN
(44.66399, -84.711206)",
PACIFIC,2018,4,563,,556,,639,,2364,,2481,,,
NORTH DAKOTA,2018,4,3,,2,,5,,12,,14,,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2018,4,25,,3,,27,,71,,101,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2018,4,54,,40,,54,,193,,182,,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2018,4,44,,44,,49,,187,,208,,"MASSACHUSETTS
(42.268546, -72.085064)",
E.N. CENTRAL,2018,4,206,,139,,206,,708,,759,,,
KENTUCKY,2018,4,12,,12,,22,,60,,65,,"KENTUCKY
(37.64591, -84.774043)",
C.N.M.I.,2018,4,,-,0,,16,,33,,39,,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2018,4,,-,0,,2,,4,,3,,"MONTANA
(47.062617, -109.430168)",
MOUNTAIN,2018,4,68,,68,,101,,358,,433,,,
HAWAII,2018,4,15,,15,,33,,102,,116,,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2018,4,33,,21,,58,,158,,213,,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2018,4,79,,54,,92,,309,,336,,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2018,4,22,,22,,49,,158,,188,,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2018,4,2,,2,,8,,19,,13,,"RHODE ISLAND
(41.707447, -71.522488)",
CALIFORNIA,2018,4,485,,452,,518,,1948,,2037,,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2018,4,,-,0,,5,,5,,19,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2018,4,8,,8,,13,,39,,47,,"IOWA
(42.46942, -93.815856)",
ALABAMA,2018,4,15,,15,,29,,91,,120,,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2018,4,1,,1,,5,,11,,21,,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2018,4,7,,6,,15,,36,,36,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2018,4,44,,19,,44,,118,,100,,"INDIANA
(39.76845, -86.156212)",
NEW YORK CITY,2018,4,145,,126,,152,,558,,607,,,
NEVADA,2018,4,16,,10,,22,,65,,80,,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2018,4,53,,29,,53,,167,,204,,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2018,4,10,,10,,19,,55,,53,,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2018,4,3,,0,,3,,6,,16,,"WEST VIRGINIA
(38.668501, -80.709421)",
S. ATLANTIC,2018,4,325,,276,,432,,1415,,1622,,,
VERMONT,2018,4,,-,0,,2,,5,,3,,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2018,4,2,,1,,5,,10,,14,,"SOUTH DAKOTA
(44.35371, -100.373709)",
AMER. SAMOA,2018,4,,-,0,,1,,1,,2,,,
MARYLAND,2018,4,41,,39,,57,,177,,207,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2018,4,20,,16,,20,,74,,69,,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2018,4,33,,33,,56,,185,,206,,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2018,4,62,,24,,62,,162,,152,,"OHIO
(40.056807, -82.405897)",
E.S. CENTRAL,2018,4,73,,73,,111,,375,,353,,,
FLORIDA,2018,4,101,,101,,156,,546,,546,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2018,4,60,,41,,72,,239,,285,,"GEORGIA
(32.836038, -83.631709)",
MAINE,2018,4,3,,1,,10,,15,,14,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2018,4,6,,6,,24,,60,,85,,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2018,4,2,,0,,9,,15,,14,,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2018,4,12,,8,,15,,48,,63,,"CONNECTICUT
(41.544654, -72.651713)",
UNITED STATES,2018,4,1828,,1828,,2275,,8062,,9031,,,
PENNSYLVANIA,2018,4,47,,42,,64,,209,,192,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2018,4,,-,0,,14,,27,,49,,"WISCONSIN
(44.395526, -89.834513)",
NEW ENGLAND,2018,4,61,,61,,80,,279,,320,,,
WYOMING,2018,4,,-,0,,0,,,-,2,,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2018,4,1,,1,,11,,33,,85,,"MISSOURI
(38.636168, -92.566292)",
W.N. CENTRAL,2018,4,60,,60,,90,,290,,386,,,
PUERTO RICO,2018,4,9,,3,,9,,23,,40,,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2018,4,20,,13,,21,,73,,52,,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2018,4,4,,2,,5,,15,,10,,"IDAHO
(43.680635, -114.364237)",
KANSAS,2018,4,,-,0,,12,,18,,27,,"KANSAS
(38.345528, -98.201847)",
GUAM,2018,4,18,,14,,20,,68,,84,,"GUAM
(13.3532, 144.653198)",
MID. ATLANTIC,2018,4,300,,275,,313,,1194,,1264,,,
NEW JERSEY,2018,4,54,,30,,75,,234,,283,,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2018,4,122,,122,,264,,843,,1135,,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2018,4,45,,28,,52,,167,,178,,"MINNESOTA
(46.357661, -94.793397)",
LOUISIANA,2018,4,24,,20,,33,,103,,141,,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2018,4,3,,2,,8,,18,,29,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2018,4,8,,6,,9,,32,,37,,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2018,4,15,,9,,23,,66,,84,,"COLORADO
(38.841772, -106.132562)",
VIRGIN ISL.,2018,4,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2018,4,30,,30,,47,,144,,122,,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2018,4,16,,13,,29,,80,,46,,"MISSISSIPPI
(32.738663, -89.537312)",
W.S. CENTRAL,2018,4,172,,172,,320,,1079,,1413,,,
MICHIGAN,2018,4,21,,19,,28,,92,,122,,"MICHIGAN
(44.66399, -84.711206)",
PACIFIC,2018,4,563,,556,,639,,2364,,2481,,,
NORTH DAKOTA,2018,4,3,,2,,5,,12,,14,,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2018,4,25,,3,,27,,71,,101,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2018,4,54,,40,,54,,193,,182,,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2018,4,44,,44,,49,,187,,208,,"MASSACHUSETTS
(42.268546, -72.085064)",
E.N. CENTRAL,2018,4,206,,139,,206,,708,,759,,,
KENTUCKY,2018,4,12,,12,,22,,60,,65,,"KENTUCKY
(37.64591, -84.774043)",
C.N.M.I.,2018,4,,-,0,,16,,33,,39,,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2018,4,,-,0,,2,,4,,3,,"MONTANA
(47.062617, -109.430168)",
MOUNTAIN,2018,4,68,,68,,101,,358,,433,,,
HAWAII,2018,4,15,,15,,33,,102,,116,,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2018,4,33,,21,,58,,158,,213,,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2018,4,79,,54,,92,,309,,336,,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2018,4,22,,22,,49,,158,,188,,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2018,4,2,,2,,8,,19,,13,,"RHODE ISLAND
(41.707447, -71.522488)",
CALIFORNIA,2018,4,485,,452,,518,,1948,,2037,,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2018,4,,-,0,,5,,5,,19,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2018,4,8,,8,,13,,39,,47,,"IOWA
(42.46942, -93.815856)",
ALABAMA,2018,4,15,,15,,29,,91,,120,,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2018,4,1,,1,,5,,11,,21,,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2018,4,7,,6,,15,,36,,36,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2018,4,44,,19,,44,,118,,100,,"INDIANA
(39.76845, -86.156212)",
NEW YORK CITY,2018,4,145,,126,,152,,558,,607,,,
NEVADA,2018,4,16,,10,,22,,65,,80,,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2018,4,53,,29,,53,,167,,204,,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2018,4,10,,10,,19,,55,,53,,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2018,4,3,,0,,3,,6,,16,,"WEST VIRGINIA
(38.668501, -80.709421)",
S. ATLANTIC,2018,4,325,,276,,432,,1415,,1622,,,
VERMONT,2018,4,,-,0,,2,,5,,3,,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2018,4,2,,1,,5,,10,,14,,"SOUTH DAKOTA
(44.35371, -100.373709)",
AMER. SAMOA,2018,4,,-,0,,1,,1,,2,,,
MARYLAND,2018,4,41,,39,,57,,177,,207,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2018,4,20,,16,,20,,74,,69,,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2018,4,33,,33,,56,,185,,206,,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2018,4,62,,24,,62,,162,,152,,"OHIO
(40.056807, -82.405897)",
E.S. CENTRAL,2018,4,73,,73,,111,,375,,353,,,
FLORIDA,2018,4,101,,101,,156,,546,,546,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2018,4,60,,41,,72,,239,,285,,"GEORGIA
(32.836038, -83.631709)",
MAINE,2018,4,3,,1,,10,,15,,14,,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2018,4,6,,6,,24,,60,,85,,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2018,4,2,,0,,9,,15,,14,,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2018,4,12,,8,,15,,48,,63,,"CONNECTICUT
(41.544654, -72.651713)",
UNITED STATES,2018,4,1828,,1828,,2275,,8062,,9031,,,
PENNSYLVANIA,2018,4,47,,42,,64,,209,,192,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2018,4,,-,0,,14,,27,,49,,"WISCONSIN
(44.395526, -89.834513)",
NEW ENGLAND,2018,4,61,,61,,80,,279,,320,,,
WYOMING,2018,4,,-,0,,0,,,-,2,,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2018,4,1,,1,,11,,33,,85,,"MISSOURI
(38.636168, -92.566292)",
W.N. CENTRAL,2018,4,60,,60,,90,,290,,386,,,
PUERTO RICO,2018,4,9,,3,,9,,23,,40,,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2018,4,20,,13,,21,,73,,52,,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2018,4,4,,2,,5,,15,,10,,"IDAHO
(43.680635, -114.364237)",
KANSAS,2018,4,,-,0,,12,,18,,27,,"KANSAS
(38.345528, -98.201847)",
GUAM,2018,4,18,,14,,20,,68,,84,,"GUAM
(13.3532, 144.653198)",
MID. ATLANTIC,2018,4,300,,275,,313,,1194,,1264,,,
NEW JERSEY,2018,4,54,,30,,75,,234,,283,,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2018,4,122,,122,,264,,843,,1135,,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2018,4,45,,28,,52,,167,,178,,"MINNESOTA
(46.357661, -94.793397)",
LOUISIANA,2018,4,24,,20,,33,,103,,141,,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2018,4,3,,2,,8,,18,,29,,"UTAH
(39.359772, -111.584173)",
